Player,Pos,Age,Tm,TRB,AST,PTS
Jaxson Hayes,C,23,LAL,1.9,0.3,3.0
Killian Hayes,PG,22,DET,2.9,4.2,8.5
Gordon Hayward,SF,33,CHO,4.7,4.6,14.5
Scoot Henderson,PG,19,POR,2.8,4.8,12.4
Taylor Hendricks,PF,20,UTA,2.5,0.5,5.3
Tyler Herro,SG,24,MIA,5.5,4.5,23.4
Buddy Hield,SF,31,IND,3.4,2.6,12.8
Haywood Highsmith,PF,27,MIA,2.9,1.4,6.0
Nate Hinton,SG,24,HOU,1.0,0.2,2.4
D'Moi Hodge,SG,25,LAL,0.0,0.7,2.0
Aaron Holiday,PG,27,HOU,2.0,1.8,7.1
Jrue Holiday,PG,33,BOS,6.6,4.7,13.1
Justin Holiday,SG,34,DEN,1.5,1.2,4.4
Richaun Holmes,C,30,DAL,3.8,0.5,3.4
Chet Holmgren,C,21,OKC,7.8,2.5,17.7
Jalen Hood-Schifino,SG,20,LAL,0.9,0.7,2.6
Al Horford,C,37,BOS,7.0,2.9,7.5
Talen Horton-Tucker,PG,23,UTA,2.6,4.3,11.0
Danuel House Jr.,SF,30,PHI,1.3,0.8,3.4
Caleb Houstan,SF,21,ORL,1.7,0.4,3.3
Jett Howard,SF,20,ORL,0.4,0.3,1.6
Kevin Huerter,SG,25,SAC,3.7,2.6,10.4
Jay Huff,C,25,DEN,0.0,0.0,1.0
De'Andre Hunter,SF,26,ATL,4.1,1.4,14.9
Bones Hyland,PG,23,LAC,1.0,1.8,7.6
Joe Ingles,SF,36,ORL,2.8,3.4,4.9
Brandon Ingram,SF,26,NOP,4.8,5.5,23.3
Kyrie Irving,SG,31,DAL,4.2,5.1,22.5
Jonathan Isaac,PF,26,ORL,4.1,0.3,6.4
Jaden Ivey,SG,21,DET,3.6,3.1,13.0
Andre Jackson Jr.,SG,22,MIL,1.6,0.9,2.4
Gregory Jackson II,PF,19,MEM,0.8,0.0,2.0
Isaiah Jackson,C,22,IND,4.4,0.9,7.4
Jaren Jackson Jr.,C,24,MEM,5.5,1.7,21.0
Reggie Jackson,PG,33,DEN,2.2,4.4,12.3
Trayce Jackson-Davis,PF,23,GSW,4.0,0.9,5.7
LeBron James,PF,39,LAL,7.4,7.4,25.4
Jaime Jaquez Jr.,SF,22,MIA,3.9,2.6,13.7
DaQuan Jeffries,SG,26,NYK,0.5,0.2,1.1
Ty Jerome,SG,26,CLE,0.5,1.5,2.0
Isaiah Joe,SG,24,OKC,2.3,1.1,9.3
Cameron Johnson,PF,27,BRK,4.9,2.4,14.9
Jalen Johnson,SF,22,ATL,8.1,2.7,14.6
James Johnson,PF,36,IND,1.0,1.3,0.7
Keldon Johnson,SF,24,SAS,6.3,3.9,17.6
Keon Johnson,SG,21,BRK,1.0,1.0,12.0
Keyontae Johnson,SF,23,OKC,0.0,0.0,0.0
Nikola Jokić,C,28,DEN,12.3,9.1,25.7
Colby Jones,SG,21,SAC,1.3,0.2,2.6
Damian Jones,C,28,CLE,1.1,0.3,1.3
Derrick Jones Jr.,SF,26,DAL,3.8,1.0,10.3
Herbert Jones,SF,25,NOP,3.9,2.6,10.5
Tre Jones,PG,24,SAS,2.8,4.9,8.2
Tyus Jones,PG,27,WAS,3.0,5.5,12.6
DeAndre Jordan,C,35,DEN,5.3,1.1,4.8
Cory Joseph,PG,32,GSW,0.8,1.7,1.7
Nikola Jović,PF,20,MIA,4.0,2.0,4.9
Johnny Juzang,SG,22,UTA,0.0,1.0,0.0
Luke Kennard,SG,27,MEM,2.9,2.0,9.2
Walker Kessler,C,22,UTA,8.1,0.8,9.0
Braxton Key,SF,26,DEN,0.7,0.7,0.9
Corey Kispert,SF,24,WAS,2.2,1.5,11.6
Maxi Kleber,C,32,DAL,4.2,2.0,3.4
Kevin Knox,SF,24,DET,2.3,0.5,7.4
John Konchar,SF,27,MEM,4.1,1.4,3.6
Furkan Korkmaz,SG,26,PHI,0.5,0.5,1.9
Luke Kornet,C,28,BOS,3.6,0.8,5.6
Jonathan Kuminga,PF,21,GSW,4.0,1.3,12.5
Kyle Kuzma,PF,28,WAS,6.2,4.3,23.1
Jock Landale,C,28,HOU,1.9,0.5,2.0
Jake LaRavia,PF,22,MEM,1.4,0.6,3.3
Zach LaVine,SG,28,CHI,4.9,3.4,21.0
A.J. Lawson,SG,23,DAL,1.2,0.5,4.3
Saben Lee,PG,24,PHO,1.1,1.6,3.7
Alex Len,C,30,SAC,3.2,1.1,1.9
Kawhi Leonard,SF,32,LAC,5.9,3.6,24.4
Caris LeVert,SG,29,CLE,3.4,3.9,16.0
Kira Lewis Jr.,PG,22,NOP,0.8,1.4,3.1
Maxwell Lewis,SF,21,LAL,0.3,0.3,0.3
E.J. Liddell,PF,23,NOP,0.7,0.0,1.3
Damian Lillard,PG,33,MIL,4.5,6.8,25.5
Nassir Little,SF,23,PHO,2.6,0.7,5.2
Dereck Lively II,C,19,DAL,7.7,1.2,9.0
Isaiah Livers,PF,25,DET,1.9,1.1,4.5
Chris Livingston,SF,20,MIL,0.9,0.3,1.3
Kenneth Lofton Jr.,PF,21,MEM,1.0,0.9,2.6
Kevon Looney,C,27,GSW,7.5,2.6,5.3
Brook Lopez,C,35,MIL,5.1,1.4,12.8
Robin Lopez,C,35,MIL,0.1,0.3,1.0
Kevin Love,PF,35,MIA,6.6,2.6,9.7
Kyle Lowry,PG,37,MIA,3.6,4.1,9.3
Seth Lundy,SF,23,ATL,0.8,0.0,1.3
Trey Lyles,PF,28,SAC,5.2,1.4,7.1
Théo Maledon,PG,22,CHO,1.8,2.2,4.2
Sandro Mamukelashvili,C,24,SAS,2.2,1.3,2.9
Terance Mann,SG,27,LAC,3.3,1.9,6.7
Tre Mann,PG,22,OKC,1.4,1.3,3.2
Boban Marjanović,C,35,HOU,2.3,1.0,2.5
Lauri Markkanen,PF,26,UTA,8.5,1.6,23.2
Naji Marshall,SF,26,NOP,4.0,2.4,8.1
Caleb Martin,SF,28,MIA,5.1,2.3,11.0
Cody Martin,SF,28,CHO,2.6,2.2,6.6
KJ Martin,SF,23,TOT,0.9,0.5,1.8
KJ Martin,SF,23,LAC,1.5,0.5,5.0
KJ Martin,SF,23,PHI,0.8,0.5,1.4
Garrison Mathews,SG,27,ATL,1.1,0.3,2.7
Bennedict Mathurin,SF,21,IND,3.9,1.9,14.0
Wesley Matthews,SG,37,ATL,1.4,0.7,2.2
Tyrese Maxey,PG,23,PHI,3.8,6.5,26.1
Skylar Mays,PG,26,POR,1.6,3.7,6.4
Miles McBride,PG,23,NYK,0.3,0.5,2.0
CJ McCollum,PG,32,NOP,4.0,5.1,19.9
T.J. McConnell,PG,31,IND,2.6,4.8,7.6
Jaden McDaniels,SF,23,MIN,2.2,1.1,10.5
Jalen McDaniels,SF,26,TOR,1.3,0.6,2.8
Doug McDermott,SF,32,SAS,1.0,1.4,6.0
JaVale McGee,C,36,SAC,2.9,0.4,4.6
Bryce McGowens,SG,21,CHO,1.9,1.0,5.6
Jordan McLaughlin,PG,27,MIN,0.4,1.3,1.6
De'Anthony Melton,SG,25,PHI,4.0,3.2,12.1
Nathan Mensah,C,25,CHO,3.4,0.1,1.7
Sam Merrill,SG,27,CLE,1.3,0.9,6.3
Chimezie Metu,C,26,PHO,3.3,0.5,5.9
Vasilije Micić,PG,30,OKC,0.7,2.8,2.7
Khris Middleton,SF,32,MIL,4.5,4.8,14.5
Brandon Miller,SF,21,CHO,3.8,2.2,14.9
Jordan Miller,SF,24,LAC,0.3,0.0,1.7
Leonard Miller,SF,20,MIN,1.8,0.3,2.3
Dariq Whitehead,SF,19,BRK,2.0,1.5,1.5
Patty Mills,PG,35,ATL,1.0,0.7,2.1
Shake Milton,SG,27,MIN,1.6,1.5,5.3
Justin Minaya,SF,24,POR,0.8,0.0,1.2
Josh Minott,SF,21,MIN,0.3,0.3,1.7
Davion Mitchell,PG,25,SAC,1.0,2.0,3.8
Donovan Mitchell,SG,27,CLE,5.7,5.7,27.9
Evan Mobley,PF,22,CLE,10.5,2.9,16.0
Isaiah Mobley,PF,24,CLE,0.7,1.3,1.7
Malik Monk,SG,25,SAC,2.6,5.2,14.5
Moses Moody,SG,21,GSW,3.2,0.9,8.2
Xavier Moon,SG,29,LAC,1.0,1.5,1.0
Wendell Moore Jr.,SG,22,MIN,0.1,0.1,0.3
Ja Morant,PG,24,MEM,5.0,7.8,25.2
Marcus Morris,PF,34,PHI,2.6,0.8,6.2
Markieff Morris,PF,34,DAL,1.8,0.8,2.8
Trey Murphy III,SF,23,NOP,4.0,1.7,14.8
Dejounte Murray,SG,27,ATL,4.6,5.2,20.5
Jamal Murray,PG,26,DEN,3.9,6.2,19.7
Keegan Murray,SF,23,SAC,5.3,1.6,15.3
Kris Murray,SF,23,POR,1.7,0.5,2.7
Mike Muscala,C,32,WAS,2.8,1.1,4.1
Svi Mykhailiuk,SF,26,BOS,0.8,0.4,1.8
Larry Nance Jr.,C,31,NOP,4.7,0.8,4.3
Andrew Nembhard,PG,24,IND,1.8,4.0,7.7
Aaron Nesmith,SF,24,IND,3.2,1.0,11.7
Georges Niang,PF,30,CLE,3.5,1.2,8.1
Daishen Nix,PG,21,MIN,0.2,0.0,1.3
Zeke Nnaji,PF,23,DEN,2.4,0.5,3.4
Jaylen Nowell,SG,24,MEM,1.6,1.8,5.7
Markquis Nowell,SG,24,TOR,2.0,2.0,2.0
Jusuf Nurkić,C,29,PHO,10.4,3.6,12.8
Jordan Nwora,SF,25,IND,2.0,1.0,6.2
Royce O'Neale,SF,30,BRK,4.6,3.2,7.7
Chuma Okeke,SF,25,ORL,1.1,0.3,1.4
Josh Okogie,SG,25,PHO,3.1,1.3,5.7
Onyeka Okongwu,C,23,ATL,6.7,1.5,9.6
Isaac Okoro,SF,23,CLE,3.3,2.1,8.8
Kelly Olynyk,C,32,UTA,5.4,4.7,8.1
Eugene Omoruyi,SF,26,WAS,1.6,0.6,4.7
Cedi Osman,SF,28,SAS,2.3,1.8,7.6
Kelly Oubre Jr.,SF,28,PHI,4.1,0.8,13.0
